territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
"Томск, Кировская",90,2219,1052,1051,12,47.00,599,56.99,440,41.86
"Томск, Кировская",91,1193,476,476,6,40.00,328,68.91,142,29.83
"Томск, Кировская",92,1085,439,439,6,40.00,316,71.98,117,26.65
"Томск, Кировская",93,2004,824,823,10,41.00,492,59.78,321,39
"Томск, Кировская",94,256,218,218,0,85.00,65,29.82,153,70.18
"Томск, Кировская",95,1871,608,608,13,32.00,392,64.47,203,33.39
"Томск, Кировская",96,1359,732,732,12,54.00,389,53.14,331,45.22
"Томск, Кировская",212,1723,668,668,4,39.00,343,51.35,321,48.05
"Томск, Ленинская",168,2139,769,769,5,36.00,539,70.09,225,29.26
"Томск, Ленинская",169,1675,727,716,6,43.00,473,66.06,237,33.1
"Томск, Ленинская",170,2333,870,870,14,37.00,560,64.37,296,34.02
"Томск, Ленинская",171,2232,891,890,4,40.00,577,64.83,309,34.72
"Томск, Ленинская",172,1540,616,616,4,40.00,362,58.77,250,40.58
"Томск, Ленинская",173,1473,581,581,4,39.00,402,69.19,175,30.12
"Томск, Ленинская",174,2501,1053,1050,11,42.00,652,62.1,387,36.86
"Томск, Ленинская",175,1892,880,880,11,47.00,553,62.84,316,35.91
"Томск, Ленинская",176,2110,881,880,13,42.00,566,64.32,301,34.2
"Томск, Ленинская",177,2146,828,828,8,39.00,541,65.34,279,33.7
"Томск, Ленинская",178,1797,691,691,5,38.00,470,68.02,216,31.26
"Томск, Ленинская",179,1465,669,668,3,46.00,416,62.28,249,37.28
"Томск, Ленинская",180,1768,732,730,5,41.00,480,65.75,245,33.56
"Томск, Ленинская",181,1737,615,615,11,35.00,387,62.93,217,35.28
"Томск, Ленинская",182,2320,913,913,15,39.00,586,64.18,312,34.17
"Томск, Ленинская",183,1641,617,617,7,38.00,445,72.12,165,26.74
"Томск, Ленинская",184,1094,432,432,4,39.00,232,53.7,196,45.37
"Томск, Ленинская",185,1711,657,657,8,38.00,433,65.91,216,32.88
"Томск, Ленинская",186,1753,669,669,5,38.00,426,63.68,238,35.58
"Томск, Ленинская",187,1258,505,505,2,40.00,306,60.59,197,39.01
"Томск, Ленинская",188,1383,420,420,5,30.00,256,60.95,159,37.86
"Томск, Ленинская",189,2385,755,755,10,32.00,513,67.95,232,30.73
"Томск, Ленинская",190,1807,394,394,5,22.00,243,61.68,146,37.06
"Томск, Ленинская",191,1316,386,386,5,29.00,249,64.51,132,34.2
"Томск, Ленинская",192,2801,717,717,6,26.00,440,61.37,271,37.8
"Томск, Ленинская",193,2509,647,647,6,26.00,416,64.3,225,34.78
"Томск, Ленинская",194,1989,623,623,11,31.00,388,62.28,224,35.96
"Томск, Ленинская",195,2381,779,779,7,33.00,470,60.33,302,38.77
