territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Чародинская,1839,70,64,64,0,91.428571428571,60,93.75,4,6.25
Чародинская,1840,23,23,23,0,100.000000000000,19,82.61,4,17.39
Чародинская,1841,239,214,214,0,89.539748953975,201,93.93,13,6.07
Чародинская,1842,103,93,93,0,90.291262135922,82,88.17,11,11.83
Чародинская,1843,78,70,70,0,89.743589743590,69,98.57,1,1.43
Чародинская,1844,24,22,22,0,91.666666666667,21,95.45,1,4.55
Чародинская,1845,35,29,29,0,82.857142857143,22,75.86,7,24.14
Чародинская,1846,78,74,74,0,94.871794871795,68,91.89,6,8.11
Чародинская,1847,35,29,29,0,82.857142857143,22,75.86,7,24.14
Чародинская,1848,48,43,43,0,89.583333333333,40,93.02,3,6.98
Чародинская,1849,15,14,14,0,93.333333333333,14,100,0,0
Чародинская,1850,176,171,171,1,97.159090909091,162,94.74,8,4.68
Чародинская,1851,93,90,90,1,96.774193548387,74,82.22,15,16.67
Чародинская,1852,139,121,121,0,87.050359712230,111,91.74,10,8.26
Чародинская,1853,1657,1572,1572,1,94.870247435124,1497,95.23,74,4.71
Чародинская,1854,68,58,58,0,85.294117647059,50,86.21,8,13.79
Чародинская,1855,59,54,54,0,91.525423728814,41,75.93,13,24.07
Чародинская,1856,29,26,26,0,89.655172413793,25,96.15,1,3.85
Чародинская,1857,249,231,231,0,92.771084337349,215,93.07,16,6.93
Чародинская,1858,127,118,118,0,92.913385826772,116,98.31,2,1.69
Чародинская,1859,399,341,341,0,85.463659147870,301,88.27,40,11.73
Чародинская,1860,145,140,140,0,96.551724137931,124,88.57,16,11.43
Чародинская,1861,42,38,38,0,90.476190476190,37,97.37,1,2.63
Чародинская,1862,97,83,83,0,85.567010309278,71,85.54,12,14.46
Чародинская,1863,42,39,39,0,92.857142857143,31,79.49,8,20.51
Чародинская,1864,22,20,20,0,90.909090909091,18,90,2,10
Шамильская,1865,606,542,542,0,89.438943894389,540,99.63,2,.37
Шамильская,1866,954,872,872,0,91.404612159329,830,95.18,42,4.82
Шамильская,1867,143,129,129,3,90.209790209790,121,93.8,5,3.88
Шамильская,1868,402,364,364,1,90.547263681592,348,95.6,15,4.12
Шамильская,1869,227,203,203,1,89.427312775330,188,92.61,14,6.9
Шамильская,1870,163,126,126,0,77.300613496933,123,97.62,3,2.38
Шамильская,1871,479,471,471,11,98.329853862213,456,96.82,4,.85
Шамильская,1872,382,305,305,2,79.842931937173,228,74.75,75,24.59
Шамильская,1873,1197,1034,1034,1,86.382623224728,851,82.3,182,17.6
Шамильская,1874,594,559,559,0,94.107744107744,337,60.29,222,39.71
Шамильская,1875,122,114,114,0,93.442622950820,99,86.84,15,13.16
Шамильская,1876,200,141,141,0,70.500000000000,125,88.65,16,11.35
Шамильская,1877,143,137,137,0,95.804195804196,134,97.81,3,2.19
Шамильская,1878,166,159,159,0,95.783132530120,152,95.6,7,4.4
Шамильская,1879,212,201,201,0,94.811320754717,181,90.05,20,9.95
Шамильская,1880,1145,1097,1097,8,95.807860262009,646,58.89,443,40.38
Шамильская,1881,210,192,192,2,91.428571428571,177,92.19,13,6.77
Шамильская,1882,338,305,305,0,90.236686390533,272,89.18,33,10.82
Шамильская,1883,361,341,341,0,94.459833795014,333,97.65,8,2.35
Шамильская,1884,437,381,381,1,87.185354691076,364,95.54,16,4.2
Шамильская,1885,233,218,218,0,93.562231759657,199,91.28,19,8.72
Шамильская,1886,63,56,56,0,88.888888888889,56,100,0,0
Шамильская,1887,102,98,98,0,96.078431372549,93,94.9,5,5.1
Шамильская,1888,197,187,187,0,94.923857868020,172,91.98,15,8.02
Шамильская,1889,1226,1118,1118,0,91.190864600326,1099,98.3,19,1.7
Шамильская,1890,243,218,218,2,89.711934156379,198,90.83,18,8.26
Шамильская,1891,638,528,528,0,82.758620689655,515,97.54,13,2.46
Шамильская,1892,297,254,254,2,85.521885521886,229,90.16,23,9.06
Шамильская,1893,78,72,72,0,92.307692307692,65,90.28,7,9.72
Шамильская,1894,216,210,210,0,97.222222222222,206,98.1,4,1.9
Шамильская,1895,1870,1766,1766,12,94.438502673797,1123,63.59,631,35.73
Шамильская,1896,992,905,905,2,91.229838709677,695,76.8,208,22.98
Шамильская,1897,215,178,178,0,82.790697674419,172,96.63,6,3.37
Шамильская,1898,390,355,355,8,91.025641025641,336,94.65,11,3.1
Шамильская,1899,258,208,208,0,80.620155038760,190,91.35,18,8.65
Шамильская,1900,968,915,915,0,94.524793388430,881,96.28,34,3.72
Шамильская,1901,693,547,547,2,78.932178932179,505,92.32,40,7.31
Шамильская,1902,56,52,52,0,92.857142857143,52,100,0,0
Шамильская,1903,1601,1436,1436,10,89.693941286696,1249,86.98,177,12.33
Шамильская,1904,90,83,83,0,92.222222222222,78,93.98,5,6.02
Шамильская,1905,704,591,591,4,83.948863636364,581,98.31,6,1.02
Шамильская,1906,172,134,134,2,77.906976744186,132,98.51,0,0
Шамильская,1907,443,402,402,2,90.744920993228,276,68.66,124,30.85
Шамильская,1908,116,107,107,0,92.241379310345,92,85.98,15,14.02
Южно-Сухокумская городская,1909,2156,1645,1645,0,76.298701298701,1464,88.99,181,11
Южно-Сухокумская городская,1910,2019,1492,1492,7,73.897969291729,1262,84.58,223,14.95
Южно-Сухокумская городская,1911,1737,1261,1261,0,72.596430627519,1097,86.99,164,13.01
Южно-Сухокумская городская,1912,286,250,250,0,87.412587412587,220,88,30,12
