territory,ec_number,participants_number,given_bulletins_number,returned_bulletins_number,invalid_bulletins_number,turnout,yes_votes_total,yes_votes_percentage,no_votes_total,no_votes_percentage
Парабельская,573,375,187,187,3,49.866666666667,84,44.92,100,53.48
Парабельская,574,97,60,60,0,61.855670103093,50,83.33,10,16.67
Парабельская,575,748,400,400,5,53.475935828877,301,75.25,94,23.5
Парабельская,576,216,137,137,2,63.425925925926,119,86.86,16,11.68
Парабельская,577,152,113,113,1,74.342105263158,63,55.75,49,43.36
Парабельская,578,60,39,39,0,65.000000000000,34,87.18,5,12.82
Парабельская,579,375,234,234,1,62.400000000000,148,63.25,85,36.32
Парабельская,580,1498,1073,1073,9,71.628838451268,509,47.44,555,51.72
Парабельская,581,1229,597,597,10,48.576078112286,381,63.82,206,34.51
Парабельская,582,432,217,217,4,50.231481481481,143,65.9,70,32.26
Парабельская,583,834,330,330,8,39.568345323741,207,62.73,115,34.85
Парабельская,584,947,447,447,6,47.201689545935,312,69.8,129,28.86
Парабельская,585,755,373,373,4,49.403973509934,227,60.86,142,38.07
Парабельская,586,282,167,167,4,59.219858156028,129,77.25,34,20.36
Парабельская,587,293,200,200,2,68.259385665529,173,86.5,25,12.5
Парабельская,588,77,51,51,0,66.233766233766,39,76.47,12,23.53
Парабельская,589,87,49,49,1,56.321839080460,41,83.67,7,14.29
Парабельская,590,363,202,202,1,55.647382920110,143,70.79,58,28.71
Парабельская,591,119,84,84,0,70.588235294118,62,73.81,22,26.19
Парабельская,592,473,220,220,6,46.511627906977,161,73.18,53,24.09
Первомайская,593,180,116,116,0,64.444444444444,80,68.97,36,31.03
Первомайская,594,160,92,92,2,57.500000000000,75,81.52,15,16.3
Первомайская,595,350,194,194,5,55.428571428571,148,76.29,41,21.13
Первомайская,596,94,56,56,1,59.574468085106,41,73.21,14,25
Первомайская,597,994,499,499,7,50.201207243461,340,68.14,152,30.46
Первомайская,598,247,153,153,1,61.943319838057,117,76.47,35,22.88
Первомайская,599,239,172,172,0,71.966527196653,126,73.26,46,26.74
Первомайская,600,107,82,82,1,76.635514018692,64,78.05,17,20.73
Первомайская,601,793,411,411,5,51.828499369483,286,69.59,120,29.2
Первомайская,602,748,369,369,5,49.331550802139,243,65.85,121,32.79
Первомайская,603,61,46,46,2,75.409836065574,28,60.87,16,34.78
Первомайская,604,35,24,24,0,68.571428571429,20,83.33,4,16.67
Первомайская,605,731,420,420,4,57.455540355677,326,77.62,90,21.43
Первомайская,606,95,64,64,0,67.368421052632,52,81.25,12,18.75
Первомайская,607,192,116,116,0,60.416666666667,109,93.97,7,6.03
Первомайская,608,125,79,79,0,63.200000000000,44,55.7,35,44.3
Первомайская,609,321,253,253,4,78.816199376947,145,57.31,104,41.11
Первомайская,610,218,182,182,1,83.486238532110,128,70.33,53,29.12
Первомайская,611,1808,995,995,11,55.033185840708,601,60.4,383,38.49
Первомайская,612,1501,622,622,9,41.439040639574,376,60.45,237,38.1
Первомайская,613,1655,751,751,4,45.377643504532,440,58.59,307,40.88
Первомайская,614,872,324,324,3,37.155963302752,237,73.15,84,25.93
Первомайская,615,635,387,387,1,60.944881889764,272,70.28,114,29.46
Первомайская,616,285,105,105,1,36.842105263158,79,75.24,25,23.81
Первомайская,617,302,143,143,3,47.350993377483,101,70.63,39,27.27
Первомайская,618,206,138,138,2,66.990291262136,87,63.04,49,35.51
Первомайская,619,168,106,106,0,63.095238095238,66,62.26,40,37.74
Первомайская,620,348,236,236,2,67.816091954023,163,69.07,71,30.08
Первомайская,621,474,265,265,1,55.907172995781,168,63.4,96,36.23
Первомайская,622,367,234,234,4,63.760217983651,160,68.38,70,29.91
Северская городская,213,2234,1116,1116,21,49.955237242614,740,66.31,355,31.81
Северская городская,214,147,122,122,1,82.993197278912,90,73.77,31,25.41
Северская городская,215,2068,1015,1015,21,49.081237911025,667,65.71,327,32.22
Северская городская,216,2115,1092,1091,13,51.631205673759,711,65.17,367,33.64
Северская городская,217,1890,999,999,12,52.857142857143,674,67.47,313,31.33
Северская городская,218,2088,1073,1070,10,51.388888888889,689,64.39,371,34.67
Северская городская,219,1975,1003,1003,9,50.784810126582,608,60.62,386,38.48
Северская городская,220,2228,1096,1092,15,49.192100538600,687,62.91,390,35.71
Северская городская,221,1989,933,933,5,46.907993966817,588,63.02,340,36.44
Северская городская,222,2456,1129,1129,15,45.969055374593,715,63.33,399,35.34
Северская городская,223,2192,1046,1046,20,47.718978102190,626,59.85,400,38.24
Северская городская,224,2797,1591,1591,29,56.882373972113,874,54.93,688,43.24
Северская городская,225,1900,941,941,6,49.526315789474,632,67.16,303,32.2
Северская городская,226,2129,986,985,19,46.312822921559,593,60.2,373,37.87
Северская городская,227,2253,1029,1025,23,45.672436750999,658,64.2,344,33.56
Северская городская,228,2069,1049,1049,15,50.700821652972,656,62.54,378,36.03
Северская городская,229,2162,1149,1146,16,53.145235892692,713,62.22,417,36.39
Северская городская,230,2475,1206,1206,10,48.727272727273,789,65.42,407,33.75
Северская городская,231,2316,1199,1199,18,51.770293609672,752,62.72,429,35.78
Северская городская,232,1929,946,946,15,49.040953862105,607,64.16,324,34.25
Северская городская,233,2033,1043,1043,7,51.303492375799,662,63.47,374,35.86
Северская городская,234,2626,1247,1246,22,47.486671744097,777,62.36,447,35.87
Северская городская,235,1916,987,986,18,51.513569937370,647,65.62,321,32.56
Северская городская,236,2147,1059,1059,12,49.324639031206,695,65.63,352,33.24
Северская городская,237,2558,1465,1465,9,57.271305707584,888,60.61,568,38.77
Северская городская,238,2081,969,969,12,46.564151850072,628,64.81,329,33.95
Северская городская,239,2483,1396,1388,17,56.222311719694,861,62.03,510,36.74
Северская городская,240,1992,1109,1105,21,55.672690763052,704,63.71,380,34.39
